1111	1
2111	1
1121	1
1211	1
1112	0
3111	1
2121	1
2211	1
2112	0.9481
1221	1
1122	0
1311	1
1212	0.0088
1113	0
3121	1
3211	1
3112	1
2221	1
2122	0
2311	1
2212	1
2113	0
1321	1
1222	0.0034
1123	0
1411	0
1312	0.1318
1213	0.0011
3221	1
3122	0.9981
3311	1
3212	1
3113	0
2321	1
2222	0.3325
2123	0
2411	1
2312	1
2213	0.0109
1421	0.4818
1322	0.009
1223	0.2659
1412	0
1313	0.0001
3321	1
3222	1
3123	0
3411	1
3312	1
3213	0.0038
2421	1
2322	0.5833
2223	0.0213
2412	1
2313	0.1287
1422	0
1323	0.2565
1413	0
3421	1
3322	1
3223	0
3412	1
3313	0.2297
2422	1
2323	0.1211
2413	0.9247
1423	0
3422	1
3323	0.5657
3413	1
2423	0
3423	1
